,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
715,7.74,24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,766",4.7,Don Miguel Ruiz,Paperback,2016
716,7.38,25,Milk and Honey,"46,454",4.7,Rupi Kaur,Paperback,2016
717,3.97,26,The Going-To-Bed Book,"15,413",4.8,Sandra Boynton,Board book,2016
718,15.20,27,Born to Run,"5,519",4.7,Bruce Springsteen,Hardcover,2016
719,9.94,28,Alexander Hamilton,"19,094",4.8,Ron Chernow,Paperback,2016
720,4.93,29,The Very Hungry Caterpillar,"54,087",4.9,Eric Carle,Board book,2016
721,18.39,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"9,189",4.7,Stephen R. Covey,Paperback,2016
722,1.50,31,The Constitution of the United States,Delegates of the Constitutional Convention,4.9,,Pamphlet,2016
723,9.67,32,Wonder,"35,722",4.8,R. J. Palacio,Hardcover,2016
724,8.55,33,The Wonderful Things You Will Be,"25,188",4.9,Emily Winfield Martin,Hardcover,2016
725,8.45,34,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"35,429",4.7,Jen Sincero,Paperback,2016
726,22.98,35,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,,Hardcover,2016
727,33.90,36,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,,Paperback,2016
728,23.49,37,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association,Paperback,2016
729,14.42,38,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,"10,705",4.7,Chrissy Teigen,Hardcover,2016
730,12.92,39,Between the World and Me,"20,045",4.7,Ta-Nehisi Coates,Hardcover,2016
731,4.99,40,Calm the F*ck Down: An Irreverent Adult Coloring Book,"21,072",4.6,Sasha O'Hara,Paperback,2016
732,5.00,41,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2016
733,7.53,42,"Jesus Calling, Padded Hardcover, with Scripture references","31,205",4.9,Sarah Young,Hardcover,2016
734,5.49,43,Night (Night),"8,578",4.7,Elie Wiesel,Paperback,2016
735,,,,,,,,2016
736,38.86,45,Harry Potter Paperback Box Set (Books 1-7),"91,706",4.9,J. K. Rowling,Paperback,2016
